galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,gamma,gamma_lo,gamma_hi,chi2_reduced,n_data,acceptance_fraction
NGC3893,0.45245995403028627,0.37797136454334185,0.5349580176929,0.7048572285191212,0.5547433614390251,0.8784861252031392,881.5639756215118,466.82808064797456,2861.2499408890335,7.43878001395245,3.376922079797974,10.11091411849859,1.2348534149327088,0.6451579729337351,1.6694471648266735,0.41053853990704725,10,0.4396875
NGC3917,0.4529828020933588,0.36500060725552425,0.5584603780067117,0.7014353609392323,0.5568255991875487,0.8731951673829342,503.4664222484759,425.2407500857427,582.5108742752776,7.773831407852703,7.241741211190275,8.339420736535338,1.250618723553523,1.0601914943506843,1.4146374003695072,0.9382722465413512,17,0.528375
NGC3953,0.5296927081529308,0.4236728520496984,0.6653827011062994,0.697096679638579,0.5683230104172962,0.8889856630592478,482789.44519323035,9182.120128523618,43174016.72821471,0.37091889198518097,0.03743155146145777,2.218678303772306,1.4350069426794108,0.7004828510441878,2.3943375350108758,2.002587131690879,8,0.27946875
NGC3972,0.4911325637129755,0.39537185983366696,0.6074094098231047,0.6989496207757603,0.5490761905488692,0.8815706038966428,717.2818723529889,249.52058175336953,1934.9788983466954,5.581546079260666,2.1015914345235314,12.244981812182472,0.2551522604885545,0.058221580761172634,0.7051075821777326,3.5602481393057794,10,0.39721875
NGC3992,0.5978484905548629,0.4624515934111483,0.7102074664877129,0.6850842661471659,0.5395994963454002,0.8615969090275322,10997.62007581874,1484.9566015863522,1119659.025952751,4.505989814933627,0.4327008570617289,9.305204868843393,1.8140605391425102,1.2355291950091267,2.6149928862506178,12.068970600128225,9,0.293578125
NGC4088,0.44008770625571225,0.38487095066747024,0.47479257058288854,0.6816348797542692,0.5418273945184882,0.8695517205454165,42.56177692705129,12.378728317797252,188.9814771593708,118.92716426135502,16.937530486575106,899.4173994615525,0.6542538191204414,0.14023106776573904,1.6846896915458216,18.634560261882587,12,0.296640625
NGC4100,0.4403968379777116,0.36422997391409906,0.5191112831219574,0.6954947646347108,0.5451036142536732,0.8748065715882324,974.8605359133709,786.8179889590232,1462.2972680805065,7.45777590744292,5.4648614488854514,8.214088859298867,1.484857807701995,1.0995820755124681,1.7556957674836815,0.9798809474559427,24,0.4503125
NGC4157,0.5086917394902046,0.45653713085595726,0.555930582948734,0.6584934015758169,0.5175115335724214,0.8196105492574144,60.46882062481683,12.76812533502198,338.1747669781595,31.45437399852046,8.024434310804915,154.19145194308496,0.3050364835107596,0.06489698466843702,0.7920210063363449,0.4466282017737048,17,0.32839062500000005
NGC4183,0.53043366819171,0.4333949722075958,0.6577815545951553,0.6918981792893455,0.5544220871343964,0.8696749813340805,1305.6358670374507,783.2452728552224,4417.945848975585,3.045698598941,1.125355632959447,4.457987834891904,0.6654342512554536,0.34036010551863116,0.9277665063460359,0.17084686632549284,23,0.391453125
NGC4217,0.48530441146459585,0.38593343389218554,0.6105655731779382,0.29564359899811304,0.26586025302526084,0.32827671199996455,375.43590917153074,288.82869851472685,481.86172948798634,12.062382604824167,10.873841158295042,13.28420265339491,1.8292657860446229,1.5120680529150377,2.1512842812030737,2.486792824733976,19,0.5058750000000001
NGC4559,0.686087672366743,0.5626289682580544,0.7484948294050993,0.7017098599120584,0.5627852448498557,0.8815192673630354,71.00526541314059,54.68726632794913,129.06257875924578,17.862318538609596,12.951649972878176,19.588264345428932,1.6638076787817346,0.9274517789053283,2.0870210451035787,0.14393267438413335,32,0.42503124999999997
NGC5005,0.5814140732579248,0.5016285223424514,0.665100964848161,0.5378614645995597,0.46956670636395265,0.6121371356933056,363.8448054996311,72.47836738025869,1369.6429880742157,67.28494965724836,6.710611676017293,823.6896198844321,1.4758753551315875,0.4499745397321905,2.484358889746037,0.15405139848147384,18,0.33884375
NGC5033,0.5367758340617446,0.46259439726554824,0.6196681762097976,0.5205913769873074,0.45591374864275847,0.5928177426370859,364.5776833156807,269.63513812123455,503.09502297757115,14.509859242871961,12.410558210520184,16.736294894496627,1.512778922860877,1.3959340859980345,1.638021645000778,3.126700848539834,22,0.5478125
NGC5055,0.46336854721124565,0.4570299071512521,0.4696707234130064,0.7053200684747444,0.5633438767225077,0.8848112773338226,124.90874175935619,116.62031129260332,134.46898613457202,20.763968378470942,19.852020316069893,21.61476072876336,1.3146426604074894,1.2537910789949382,1.373380609548699,1.757146194187036,28,0.5568437500000001
NGC5371,0.33779858299285326,0.3070443875847566,0.37054264246175705,0.6911202787544161,0.5389948832932192,0.8867658103563784,1911495.4671765768,932256.7209830043,8187609.386701189,0.40452209458435257,0.19955383276645786,0.5635929848878981,2.99,2.99,2.99,2.1183938181004676,19,0.48837499999999995
NGC5585,0.5704344568702856,0.5323891777291382,0.6092283033047767,0.698265109406093,0.5563569251331775,0.8672240826042648,301.1020664582725,274.2195306299205,325.9491386708656,7.198706024384094,6.916754706933932,7.547006674268525,1.4445878213848795,1.288283716259534,1.6098123651495269,4.323940951044001,24,0.549828125
NGC5907,0.41647477689760054,0.32865185590026763,0.4894477501627571,0.71196873892163,0.5636592799548626,0.905778487892423,49478.422694639296,11774.400140381405,828068.738941446,2.1410748141892952,0.49126905659407716,3.4904676650438575,1.9997417237494646,1.3141863051755738,2.710384934775951,52.683410845965874,19,0.273265625
NGC5985,0.40301466396558044,0.3220923909713351,0.48666736143452827,0.6434389951179237,0.5121598553245473,0.8021674044769819,8940.705181366688,2507.2921067508632,280877.5019706914,3.8886240274649087,0.9721806673713842,7.771183277005449,1.2230586682731763,1.07236170432826,1.4917016775727756,13.08868834166832,33,0.3493125
