galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
NGC3741,0.7152035755037232,0.550182108979991,0.9084779039826364,0.7144250051599769,0.5724431656544093,0.8764203138550212,3007.5952415234365,2815.3901481335906,3210.178921073254,37.354579068650246,34.355238895892526,40.42677053234663,1.2270666761448454,21,0.6057291666666667
NGC3893,0.4443998052689283,0.37529582767801944,0.5161969513174599,0.6745117335355846,0.5336821892149539,0.8710354925676447,27433.65191631333,25135.865781699755,29720.223444946456,53.59825056794838,41.63837603125051,68.95352786180376,0.2794569721574512,10,0.6005208333333334
NGC3917,0.4822817215629147,0.3840920105848412,0.5925069273794096,0.6841599671311073,0.5541461764555398,0.8550972094906889,16692.716874351147,15181.723670083433,18017.934479279444,59.52625197717665,54.49632381567106,65.4184980164239,1.088658562445754,17,0.5880208333333333
NGC3953,0.5373070319101215,0.3863419793433338,0.7850296920126565,0.6683176540445736,0.5267470853199343,0.8725302568598656,25405.159774652988,13240.964444225609,35529.53737141266,42.07089099341863,31.866774464884724,92.72966778120232,1.4423525862561377,8,0.41989583333333336
NGC3972,0.4667320963217452,0.3776962005751317,0.5822148976789788,0.6721917648435087,0.5428541362570842,0.8401598551748015,15363.320799298577,13383.797817776998,17531.720513369255,46.8951740304728,39.84277711534078,55.99692802532349,1.0217757382460995,10,0.5940625
NGC3992,0.4862959366149078,0.4060157063965275,0.5827126686342803,0.6882230236413747,0.543149411056929,0.8868776818131081,54946.87298219537,49498.77419279,59902.16000029774,71.29979791645299,58.87311277514286,88.43313399970641,0.6196331271456259,9,0.6001041666666667
NGC4088,0.449331427354995,0.42058768305635835,0.4740548745589256,0.7337602518315214,0.551302269263004,0.9226774877151465,119773.16715060693,34608.87329247323,548578.9459421734,660.191001184472,286.63182570992,1483.3893351216475,0.5807906857275915,12,0.5342708333333333
NGC4100,0.4596055669342937,0.3961137877828332,0.5344621006699757,0.714999413613288,0.5719308868999478,0.8999304680678885,26521.09126428555,24335.596040093937,28576.880825782227,41.663072500440954,36.661999205352934,47.91041235819853,0.7786806014573503,24,0.5955208333333333
NGC4157,0.5351571564912219,0.4777391568566983,0.5800027908984142,0.6712424942337549,0.5481666223991705,0.8087186797525688,37311.553102761914,29883.785907615566,54091.82309656704,251.47665637045816,174.103344515835,373.5311481401754,0.38479263506259304,17,0.5476041666666667
NGC4183,0.483397741427838,0.39612824667168556,0.6033124232651063,0.7148467748557495,0.565687857863997,0.906685870113342,10736.737554005304,10122.314204775592,11289.596340224143,39.65550132317714,35.727715345595655,44.222518805746624,0.29848000591132073,23,0.6015625
NGC4217,0.5304738623695775,0.42007697108268294,0.6702076830661193,0.25616824046319125,0.22710257567989817,0.28972196521357724,31115.01791909511,29281.610548032088,33301.19278748347,77.08910368284724,66.5365098229819,91.61675606331264,2.2656468932861884,19,0.59
NGC4559,0.5458404534243337,0.47085310072105485,0.6149592598202068,0.694646442634559,0.5583855419857012,0.869977899889628,13063.723870594216,12349.501761548056,13982.728670509114,97.65939276215609,80.57172352478267,119.82127924186779,0.27384815259473183,32,0.5877083333333333
NGC5005,0.5678493844583559,0.487713316515157,0.6297077765172477,0.550654193381052,0.4878726148152859,0.6176719935461497,390093.103810385,37968.763456203604,3802735.690778224,556.2139064170892,77.81895825581992,1868.1339291544234,0.13850439845195403,18,0.49833333333333335
NGC5033,0.4400596951672238,0.3689299371721484,0.5079957330631236,0.49055750299698136,0.43379477076130013,0.5581296021396189,40930.38781785924,39298.27350519854,42450.799187131866,72.11647256562499,62.808369389378875,81.37508000260387,3.217697569066367,22,0.5953125
NGC5055,0.4388179018425923,0.4308078051939673,0.44611991145806473,0.7155811733727062,0.5598573662086241,0.8880326882425013,28799.971596448264,28530.890043508738,29085.08804254699,135.40805747467218,127.86938659134492,143.298564608769,2.15614305495843,28,0.5996874999999999
NGC5371,0.31705779387397276,0.2768680713808139,0.3605107881965075,0.7043110211369541,0.560466215554785,0.8759844677462352,36891.42183281381,32897.82310481898,40647.92486868727,37.24794195118306,32.518121484050866,42.119090282506434,6.576718447326412,19,0.5782291666666667
NGC5585,0.5196545575203761,0.4640402879325715,0.7638051596888914,0.7270646338694331,0.5719814336856388,0.9179354438569071,8660.08716418868,12.211178168858124,9053.016019254615,54.68261012927428,7.437717896505097,61.07304324063552,5.412978142812749,24,0.4369791666666667
NGC5907,0.31111566560084053,0.26234511824355067,0.3625007876276311,0.6843104731155663,0.5652111236649897,0.8483274276207967,47413.78851437639,44473.38962779601,50324.342777787526,45.985609885235654,39.51232859638228,54.500238439277965,5.292417867603432,19,0.5861458333333334
NGC5985,0.33925808704776006,0.275377512896688,0.40137729430956454,0.6625299781063577,0.5319460159129089,0.8402256658738407,86078.59535339635,82742.09297490216,89396.56982453243,50.032347111164405,47.63973123359341,52.413127419460864,1.9322857439660217,33,0.5888541666666667
NGC6195,0.7312833231393289,0.6306401596470418,0.7685629499523049,0.6097725799601346,0.48258494282722425,0.7044572499950076,44867.2123507941,4394.026267101974,229508.97134813515,0.7317018320432622,0.02152506232354679,408.2351749138611,20.29043196317963,23,0.33083333333333337
NGC6503,0.5808842537998709,0.5349989792178192,0.6333547722207999,0.7154780060829204,0.5507144463088686,0.9089971678920293,12992.032097398554,12814.926653839952,13186.481446256365,62.566554674405445,57.34945920408085,68.02436047520158,2.099851787207076,31,0.6019791666666667
NGC6674,0.4067469207192939,0.3366948689188775,0.4994992929745216,0.7163762887034677,0.5800472470420089,0.8986651302478126,63084.291074249966,56907.682595802835,68126.16262648605,46.43576232771925,37.517145180056,63.8258734935321,28.432600539190798,15,0.581875
NGC6946,0.4952593459362145,0.41302129325555853,0.5686787361268616,0.6042098594723974,0.5568940678909899,0.6459899984140924,19287.305427455885,18078.53477217905,20736.5263741037,72.57955624386278,56.22975989484838,99.64477148050558,1.6513769866431618,58,0.5237499999999999
NGC7331,0.4143170520365904,0.39864277462639763,0.4305957607829746,0.5939471671398228,0.4763764502496196,0.7339310612015609,50736.930229989666,48697.75570709978,52763.976769287685,204.2693656264482,185.68085315173943,222.40476796687472,1.3693449429949427,36,0.5876041666666667
NGC7793,0.751446932220268,0.6725267571167544,0.8094648199998152,0.7131747768783824,0.5627815010079708,0.8838404927777068,7297.478783752317,6225.895735496971,8988.132538075062,46.736721111631745,35.84278911873546,62.96669324804241,0.7664978092966,46,0.5959375
NGC7814,0.49153126175361017,0.3959754525169497,0.6195653803658794,0.6108676605805383,0.5671365484907104,0.6577954488405594,40680.19589869254,39392.379867923286,41916.64880624178,64.06243457366992,54.88054145368083,74.93800262707893,0.5832420532399893,18,0.596875
