,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
33,NGC0100,0.4992841856891936,0.40094826148127743,0.6211831301557553,0.6990178887332847,0.5538857463163112,0.873437878439502,11225.007212031132,10050.827456695763,12832.33830329608,2.911541769612295,2.4934062675811934,3.5413347673273807,0.09181405956172266,21,0.5946250000000001
34,NGC0247,0.47701298518894575,0.38432747894344227,0.5927045872408641,0.7098809379210219,0.5644125840112428,0.8884902164471781,8624.635493086102,7977.879197884573,9197.547938692054,1.7033579835247574,1.6149033289392845,1.7936487597241848,2.7524713410820456,26,0.585078125
35,NGC0289,0.4287426444124769,0.3378696260002078,0.5482120624135913,0.6901334945507386,0.5493720053692487,0.8706485745109915,24470.722764610415,23334.658243615886,25866.890018607457,1.3647854929784566,0.3692409109370308,3.189785387744503,2.2940656198443476,28,0.532546875
36,NGC0300,0.5122947006707939,0.4040245133021724,0.6467698346766759,0.7043377456622352,0.5620571565934166,0.8869615397720743,10615.322423763337,10056.73335619449,11162.125808908182,2.085857029832894,1.863547602066405,2.387545605804603,0.4537922865390537,25,0.591453125
37,NGC0801,0.5121820653033504,0.3432685083116309,0.7187806626772973,0.6840339686515181,0.545998899523807,0.8647497858506097,34120.67381352918,29390.34259074268,72490.21170640277,4.539817891463805,0.4348333261952049,39.24349135077739,14.36940178156076,13,0.36420312499999996
38,NGC0891,0.2996279413061346,0.26001647777149095,0.3405367442204643,0.5971226967790383,0.4896458600317239,0.6951097484727696,41130.987422777944,38765.33214888406,43749.10721906007,2.7690082063272476,2.146380173152532,3.474230648678167,4.360773015951068,18,0.5819531250000001
39,NGC1003,0.714996197984455,0.6290995488000878,0.7947454990742133,0.7025753541774209,0.5595255615916808,0.8806332313688061,14991.305454434632,14166.476914795834,16081.301581763531,5.75864194758516,4.789022868825813,6.95363219885585,2.874995011113017,36,0.57709375
40,NGC1090,0.4629776631575654,0.4124829046129579,0.5218760275079296,0.6994855467871615,0.5563005487476111,0.8837362564676776,21288.245694427205,20505.343901306554,22022.819029544087,2.7461776371427455,2.250469566069686,3.419640109410163,1.5428062296008247,24,0.59378125
41,NGC1705,0.49611232722347753,0.39918105051397523,0.618259206601993,0.7025995488388166,0.5609808779208607,0.8815116597802967,4823.188298148016,4538.236423677149,5138.623142796692,0.12483723456440136,0.06608371235691475,0.1987850848848923,0.08523465086215087,14,0.585625
42,NGC2366,0.40709215311831476,0.3332543778517101,0.49341948113003214,0.6962691169705467,0.5570497446371289,0.8759355398733218,3500.8438223636144,3198.5251414693616,3857.789991228486,1.5322444949127296,1.3685284093942718,1.721297895123452,1.0665112764452371,26,0.593375
43,NGC2403,0.8354502479129784,0.8118658353349114,0.8565429206951676,0.6933666772959288,0.5523853925016686,0.8738335020636466,19366.304053143976,18973.180779647715,19762.365055011735,3.555015233051881,3.385161100600148,3.7230262679126027,10.396348413586061,73,0.5955625
44,NGC2683,0.5422244634344902,0.4652682591019488,0.6353407843080955,0.6637499848028556,0.531849726535037,0.8307247940780716,19272.195981172732,17185.02558729062,21418.526298974342,0.6459709749197062,0.042343454693529854,1.9822709515461654,1.625591964682593,11,0.5183906249999999
45,NGC2841,0.5741745530553067,0.5254536501935181,0.6261800142952354,0.6277509210393777,0.5040303168517813,0.784426731446846,66944.89414233455,65719.80498205942,68171.12879566452,1.1105922749948547,0.7311030709291235,1.6755612876861292,1.6921146276645498,50,0.5776874999999999
46,NGC2903,0.3353361044149591,0.31215589990051057,0.3614925199022296,0.6945928687590969,0.5560542880277315,0.8750386214220511,30530.426096854557,29981.19960233491,31105.395750167292,1.1486539036635455,0.9316107984345658,1.4150757547774022,6.689488752239399,34,0.592
47,NGC2915,0.4397030723013391,0.3531559575108503,0.5462072942564731,0.7012087769070877,0.5564262480065585,0.8915782336524045,7788.385718914439,7300.324747066374,8345.290088464086,0.8887468312892821,0.6825444833835811,1.1221582338512113,0.7161307110821868,30,0.59296875
48,NGC2955,0.4046413751881346,0.34086255164431684,0.4718424755449915,0.7933509412378965,0.750196549300339,0.8287025766038978,55584.35220585901,46629.6232259183,68138.77389454131,7.962284051440706,5.767232169123324,11.010640868197292,4.0748934860927735,24,0.576765625
49,NGC2976,0.596481926842744,0.4703231961169766,0.6972216522099572,0.7093474608281415,0.5634335152290808,0.889809965753631,75125.84774738431,15711.742590532971,27019090.777913637,5.727394254062111,1.973595208442407,117.88086686165728,0.47819215411916893,27,0.46896875
50,NGC2998,0.34362535145231937,0.2923559536112646,0.39920952026852263,0.698075791667424,0.5525992965590559,0.8688947681301088,33856.4464176902,32265.958689590247,35331.77951233685,0.6222055823372685,0.45131256659157043,0.8286384177634422,1.297913855569365,13,0.59184375
51,NGC3109,0.4981380461914093,0.39352676981668067,0.6305396907375942,0.6996686827310967,0.5573410613680737,0.8816933191099959,8554.111302861385,7936.460713036027,9284.408460986715,2.8918394778088516,2.694361718496081,3.114849620151758,0.2188045221308498,25,0.5951562499999999
52,NGC3198,0.5107407214449492,0.470888354578218,0.5554785146698783,0.6951862582285161,0.549223783204876,0.8816508974976783,20132.318436144637,19847.294518328057,20435.518837620333,2.734093539574976,2.452197188049656,3.0788396704265653,1.2956914757706017,43,0.594734375
53,NGC3521,0.5855847595765484,0.5701444689670869,0.5991818937907991,0.6992850352081824,0.5535210020715161,0.8808562241349953,81139.62159252756,56279.04944191375,245246.54627793244,10.963329532101639,7.461176130855437,24.369805309378705,0.1962197186274598,41,0.49968749999999995
54,NGC3726,0.590872621855183,0.474625626218325,0.673545823593333,0.6901304171440362,0.5516529894487702,0.8797891574540551,45905.89214831449,26548.83819350801,1254371.2813183796,16.336996564300804,6.7431530185031425,135.62768871432107,2.418562259648937,12,0.41684374999999996
55,NGC3741,0.6822969842679666,0.5368390056715581,0.8483744450252462,0.7031119025164572,0.552201069734037,0.881869184982795,3552.7394092105133,3258.8163315763413,3857.2405364037563,1.7014498571523597,1.5075607150789894,1.8967207532245536,0.9635017980339955,21,0.5939531250000001
56,NGC3769,0.4134946337615399,0.3453294865715939,0.4921279536125194,0.6932706587192202,0.5551164255373606,0.8761745954240924,13671.082555124709,12365.002248842464,15132.180940776216,2.19738623205855,1.5020162647348105,3.0280226378163486,0.7693888721770388,12,0.592640625
57,NGC3877,0.39733382702769104,0.32290854347523046,0.47692680191838227,0.7062025550864959,0.5538462333276835,0.8853494571010687,14716.848620573142,10664.645687042697,19038.240957309958,0.6754864393797797,0.13042285980985022,1.1655207451470517,6.6765647993409125,13,0.517671875
58,NGC3893,0.453997303036236,0.38199863521340877,0.5300873065485407,0.7004913916531016,0.5572294432710717,0.8744122999469292,28705.80159778988,25621.464177751306,32108.700202484724,2.1447969507344906,1.4389001288457617,3.125567208778536,0.6061285676952617,10,0.58915625
59,NGC3917,0.5707320781545109,0.46828336476309745,0.6832480687303341,0.699509489254376,0.5554166756755204,0.8830610976460451,17582.45772609478,15795.56076875387,19342.93539630952,2.6500378829754645,2.3056224806809826,3.0389684524294767,1.544083848615808,17,0.5775781249999999
60,NGC3949,0.540671080323476,0.4902730102991079,0.5909099560875897,0.6953560262010561,0.5564740101877943,0.8738635344389488,639875.1048594121,13649.247898234436,65778823.12646609,44.11007759355215,3.627149082995084,365.9499055412596,3.270735901417685,7,0.46368750000000003
61,NGC3953,0.7383084644417539,0.48352413318437204,0.8489604774848106,0.6912611085635224,0.5527655713061037,0.8682582507362674,13876.078273344252,16.736958024886682,29285.880779435345,1.1562084565761734,0.07970160433398482,161.33888366291623,6.755552315135015,8,0.29571875000000003
