,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
40,NGC1090,0.49765805007112135,0.4155104449450378,0.5944950539308403,0.7002429228492523,0.5579776755768725,0.8953213563417032,85706.08144234252,81931.3733999352,90730.55700438227,18.65206572977852,13.816315871460384,29.641555295391004,2.8770627210838624,24,0.5218437499999999
41,NGC1705,0.5164543721324923,0.40808879969847384,0.6548017947732095,0.7070893032222151,0.562013209449036,0.8895336397441177,21478.025090891064,20478.255747485073,22529.71527478145,1.461238050877855,1.1419177191684204,1.894481214347868,0.13757315234639597,14,0.595421875
42,NGC2366,0.442777710969798,0.3548069207582077,0.5466398880710606,0.7007202034609289,0.554389080226688,0.8816743810382143,22096.772637999606,14943.943931928476,60115.64566278639,18.637500173934612,10.964655326527831,59.96243356096442,4.009993458213811,26,0.5307499999999999
43,NGC2403,0.447901937759542,0.408361941869513,0.481952066699978,0.6964558179817062,0.5465252958799088,0.8783776223443575,69413.62893824906,68512.61697230859,70397.43685231113,11.101316222803328,10.143213256123882,12.055631930874505,6.296475562706789,73,0.5963750000000001
44,NGC2683,0.499414950249833,0.4069204292719546,0.6031221038261241,0.6739151843219497,0.5337652815322045,0.835645903688299,92904.87160861607,80902.1408227874,107729.82555316521,6.893893384162984,4.765986408288817,11.195440424147627,1.0886393837818695,11,0.5869375000000001
45,NGC2841,0.9799639735373699,0.9111807559850273,1.0473073527276986,0.9848501903278769,0.9227531169000739,1.0437468908961678,294245.36876099766,283654.14876101125,307676.5692720125,41.558874444064664,34.78818516483795,49.744728426800485,1.7860956081626629,50,0.5870000000000001
46,NGC2903,0.31452240469452236,0.29403835178880355,0.33445662311067875,0.6978606977426043,0.5577708751105073,0.8868996715533316,126985.57253249722,124589.52321338575,129668.01318212367,6.781762862759188,6.134479930538397,7.539125059889155,6.740790734834132,34,0.5941093749999999
47,NGC2915,0.437658275292357,0.35378916880816785,0.5409137889559351,0.6951548965776176,0.5484888183065203,0.8769970474865905,30389.555570732336,28970.76032878663,32283.257515319125,4.719908930608825,3.718727817300899,6.1070134482139595,0.9893541825658103,30,0.5928437500000001
48,NGC2955,0.38239694657631756,0.3108547327628418,0.4592890129417916,0.7209760098516491,0.663570299557457,0.7654880866587289,220173.6256160115,174047.68854815364,554016.7943232271,40.749890616429575,20.548419174180534,186.73523181397,4.294217435480775,24,0.514609375
49,NGC2976,0.9177171248898197,0.8902216939747764,0.9413929089139862,0.7099857715530653,0.5519967097197548,0.8899204416590393,13.862276319524456,0.5744782305799984,1516.8545630804936,18.538368752075023,0.1066607551344617,628.9181301288381,0.8890912456730563,27,0.49092187499999995
50,NGC2998,0.48766466335643066,0.36852532620801404,0.640499926381062,0.6870190907262593,0.549844294416072,0.8659238946725049,143649.7014180606,134163.81416376904,156417.25839936238,17.881741001394943,11.789266143413666,33.4736176757132,3.8117467763546937,13,0.484671875
51,NGC3109,0.4721237591984971,0.3764754216784235,0.5924032944508845,0.6993415492110268,0.558071836850844,0.8869801675164802,1196019.7975235395,404055.602576877,2738182.379753552,920.4655001172558,306.5082675266301,2119.409543667817,11.847891883732812,25,0.5660156249999999
52,NGC3198,0.4742328424394366,0.4328282427755521,0.5165964695255525,0.7040146057696819,0.5561329266069341,0.8828089127016591,82903.26305668401,81532.57148221921,84365.66398636003,15.606470683564003,14.147091352126425,17.391856941144766,1.444315150156057,43,0.593015625
53,NGC3521,0.5406579421643206,0.5242876647765465,0.5541178800426245,0.6992332584475277,0.5472439176446314,0.8792442857618181,1331692.0739021522,322842.69965822005,5483640.612007903,362.9678271860578,72.67244126129211,1543.9191788338637,0.2464150444099864,41,0.49040625
54,NGC3726,0.5096617777377795,0.456996969954395,0.5563734853017115,0.6987569057321421,0.5538880424946863,0.8738609961334026,511121.8409919949,159276.35825777278,1933443.3833796268,346.5960818150407,79.58360762887837,1417.9486052191023,2.527040058034643,12,0.514984375
55,NGC3741,0.5033475092448494,0.4058408344995304,0.6216235444026149,0.6881138295689896,0.5505176465116383,0.873613314220267,31263.281813185593,21836.808184443165,72215.64863320613,31.246764994904368,20.050509744909608,80.30289055554304,0.3989159893369283,21,0.542234375
56,NGC3769,0.3954413943894928,0.3326920882805388,0.47392741088836154,0.6996827716958581,0.5524622511399457,0.8846920684549058,55393.10192200856,51147.136113475906,60647.852238675594,12.777776849915702,9.715969375099004,17.387123227219412,0.8910846377044861,12,0.597453125
57,NGC3877,0.4105726975896048,0.334179205348118,0.4976253474900659,0.7016151052510513,0.5508698213407848,0.8930478113380839,59116.14180899482,45288.3376633186,73004.0021755079,3.6969980584919875,2.357710467458837,5.563717825918366,7.511441167384922,13,0.5488437500000001
58,NGC3893,0.43762324178215556,0.3591058783108833,0.5232505424788777,0.7066859470292736,0.5630999967775043,0.8837550919737102,115315.95206205764,102786.66091571757,139281.86387381173,11.735858586116272,7.584501739762506,22.75760247025425,1.1526639711875335,10,0.554875
59,NGC3917,0.7437992496963144,0.571004752852076,0.9455265739584024,0.713940262632438,0.5646552197964263,0.9030873471652063,76818.2100091784,63818.59197595184,163202.6391853086,24.221720365927727,15.237080555088571,98.4547379919949,4.510001950258512,17,0.49298437500000003
60,NGC3949,0.4565168342047276,0.39178069823466527,0.5508769375303415,0.700373722592109,0.5552681879340374,0.8754721875990709,429738.2736667286,57380.240239381186,3537480.346608272,142.41200300685617,15.147753355746804,1101.8010183663157,1.3675803165376934,7,0.481078125
61,NGC3953,0.7867928392966285,0.5503043282016498,0.8498445610294886,0.6999689039085243,0.5591281324522616,0.8599369584285578,46680.29935168828,16.356577343617758,126512.36827880878,10.003638456532578,0.6593551591778967,369.60763719949136,6.9173818495530455,8,0.327125
62,NGC3972,0.5063326965601891,0.4059548640586364,0.6228415591041029,0.679673075236401,0.5420833896789103,0.866343905033321,289314.8050454686,112272.8685285262,2483798.1414764775,85.74170830220181,26.12097997508169,818.5295169135965,1.5712154660610544,10,0.493765625
63,NGC3992,0.5124173877741808,0.4162323556882127,0.6337663062698651,0.699128805999414,0.5615464603014193,0.8792544731311922,202392.69922779233,180641.47836300833,223136.61299488455,11.92780736976126,9.58370089798843,16.464285684033616,0.6048914062297345,9,0.581359375
64,NGC4010,0.44036841398678594,0.3643207851929506,0.5304199424213946,0.7027812993612469,0.5549146918206278,0.88184648971944,872063.2323083662,223598.53141008964,3482004.590512919,383.65044698900044,89.46510999421068,1569.0116833378447,2.7494524164316227,12,0.5477031250000001
65,NGC4013,0.572234328865426,0.5297406961723695,0.6088248577123089,0.8013721786637001,0.6382945035782297,0.9934609554840794,880085.836747021,335463.3038344803,2670942.2744731144,502.01705859611536,168.2492342366036,1586.8508656087042,0.7857542677875732,36,0.488890625
66,NGC4051,0.6709442300035832,0.5312270054193912,0.7178426718592277,0.6926757595027221,0.552621876480676,0.8723082697817393,2552.0269214069367,3.274949471510303,61478.85298980541,9.171941765424547,0.13354415485759089,446.6579400880126,2.8371222029217713,7,0.400671875
67,NGC4068,0.4965580079305375,0.3953493021391476,0.6182817872473628,0.6992739540817499,0.5588874101900556,0.8846874812342281,124203.38543607183,15129.733514847769,827110.0041733799,198.04180935846983,22.617982583029875,1333.8511847672348,3.797776656834147,6,0.558203125
